120,"2-комн. квартира, 62 м²",12200000,Рязанский,Текстильщики ,16,62,8,23,Косметический,2007,Панельный
121,"2-комн. квартира, 67 м²",12250000,Коптево,Войковская ,21,67,3,5,Косметический,1956,Кирпичный
122,"2-комн. квартира, 55 м²",12399000,Свиблово,Ботанический сад ,5,55,2,9,Евроремонт,1967,Кирпичный
123,"2-комн. квартира, 68,3 м²",12600000,Хорошевский,Полежаевская ,6,68,1,6,Косметический,1957,Кирпичный
124,"2-комн. квартира, 52 м²",12600000,Северное Медведково,Медведково ,5,52,12,14,Евроремонт,2009,Панельный
125,"2-комн. квартира, 64 м²",12700000,Северное Медведково,Медведково ,13,64,8,14,Косметический,2004,Панельный
126,"2-комн. квартира, 54,1 м²",12900000,Красносельский,Красносельская ,13,54,3,11,Косметический,2009,Монолитный
127,"2-комн. квартира, 57,1 м²",13300000,Коньково,Беляево ,3,57,5,22,Косметический,2004,Монолитный
128,"2-комн. квартира, 60 м²",13400000,Очаково-Матвеевское,Озерная ,8,60,6,25,Евроремонт,2017,Панельный
129,"2-комн. квартира, 65 м²",13598000,Люблино,Люблино ,2,65,5,16,Евроремонт,2007,Монолитный
130,"2-комн. квартира, 51 м²",13600000,Академический,Академическая ,11,51,5,17,Евроремонт,1998,Панельный
131,"2-комн. квартира, 65 м²",13598000,Люблино,Люблино ,2,65,5,16,Евроремонт,2007,Монолитный
132,"2-комн. квартира, 55,7 м²",13750000,Щукино,Октябрьское поле ,12,55,2,5,Евроремонт,1958,Кирпичный
133,"2-комн. квартира, 51,2 м²",13900000,Филевский парк,Филевский парк ,7,51,16,17,Евроремонт,1998,Панельный
134,"2-комн. квартира, 78 м²",13900000,,Прокшино ,14,78,7,15,Дизайнерский,2017,Монолитный
135,"2-комн. квартира, 60 м²",14300000,Щукино,Покровское-Стрешнево ,5,60,8,8,Евроремонт,1956,Кирпичный
136,"2-комн. квартира, 60,1 м²",14800000,Академический,Профсоюзная ,6,60,7,9,Косметический,1954,Кирпичный
137,"2-комн. квартира, 66 м²",14800000,Кунцево,Молодежная ,11,66,6,17,Дизайнерский,1999,Панельный
138,"2-комн. квартира, 52,3 м²",15000000,Гагаринский,Академическая ,10,52,10,14,Косметический,1960,Кирпичный
139,"2-комн. квартира, 54 м²",14999000,Кунцево,Молодежная ,3,54,2,17,Косметический,2006,Панельный
140,"2-комн. квартира, 65 м²",15350000,Беговой,Белорусская ,5,65,2,12,Косметический,1955,Кирпичный
141,"2-комн. квартира, 69,3 м²",15400000,Свиблово,Свиблово ,6,69,4,17,Косметический,1999,Панельный
142,"2-комн. квартира, 54,5 м²",15500000,Черемушки,Профсоюзная ,4,54,20,24,Евроремонт,2009,Панельный
143,"2-комн. квартира, 52 м²",15500000,Щукино,Стрешнево ,5,52,14,22,Евроремонт,2008,Монолитный
144,"2-комн. квартира, 50 м²",15600000,Щукино,Октябрьское поле ,16,50,7,24,Евроремонт,2017,Монолитный
145,"2-комн. квартира, 73,7 м²",15650000,Черемушки,Новые Черемушки ,8,73,10,18,Дизайнерский,2004,Панельный
146,"2-комн. квартира, 70 м²",15850000,Нагатинский затон,Коломенская ,15,70,2,17,Евроремонт,2007,Монолитный
147,"2-комн. квартира, 70 м²",15800000,Нагатино-Садовники,Коломенская ,10,70,9,15,Евроремонт,2013,Панельный
148,"2-комн. квартира, 59,2 м²",15850000,Хорошево-Мневники,Хорошево ,1,59,11,19,Дизайнерский,2014,Монолитный
149,"2-комн. квартира, 70 м²",16150000,Щукино,Щукинская ,5,70,26,26,Косметический,2008,Блочный
150,"2-комн. квартира, 46 м²",16200000,Таганский,Таганская ,8,46,2,8,Косметический,1951,Кирпичный
151,"2-комн. квартира, 63 м²",16450000,Войковский,Балтийская ,8,63,3,20,Дизайнерский,2012,Монолитный
152,"2-комн. квартира, 63 м²",16700000,Алексеевский,Алексеевская ,5,63,6,16,Косметический,1955,Кирпичный
153,"2-комн. квартира, 70 м²",18000000,Аэропорт,Аэропорт ,10,70,17,32,Дизайнерский,2008,Монолитный
154,"2-комн. квартира, 60 м²",17900000,Гагаринский,Университет ,7,60,4,9,Косметический,1956,Кирпичный
155,"2-комн. квартира, 65 м²",19500000,Филевский парк,Шелепиха ,4,65,18,25,Евроремонт,2017,Монолитный
156,"2-комн. квартира, 51 м²",19500000,Хорошево-Мневники,Хорошево ,5,51,25,32,Дизайнерский,2011,Монолитный
157,"2-комн. квартира, 59 м²",19700000,Щукино,Панфиловская ,5,59,4,10,Евроремонт,2007,Монолитный
158,"2-комн. квартира, 53 м²",19990000,Гагаринский,Университет ,10,53,6,8,Дизайнерский,1958,Блочный
159,"2-комн. квартира, 62,9 м²",20200000,Обручевский,Новые Черемушки ,2,62,3,19,Евроремонт,2004,Монолитный
160,"2-комн. квартира, 54,4 м²",21000000,Хамовники,Спортивная ,9,54,9,12,Косметический,1957,Кирпичный
161,"2-комн. квартира, 59 м²",21400000,Тропарево-Никулино,Юго-Западная ,17,59,3,35,Дизайнерский,2008,Монолитный
162,"2-комн. квартира, 74,4 м²",21500000,Обручевский,Калужская ,5,74,32,48,Евроремонт,2010,Монолитный
163,"2-комн. квартира, 79 м²",21600000,Обручевский,Проспект Вернадского ,10,79,24,48,Евроремонт,2010,Монолитный
164,"2-комн. квартира, 65 м²",21500000,Ломоносовский,Профсоюзная ,10,65,18,25,Дизайнерский,2017,Монолитный
165,"2-комн. квартира, 75 м²",22000000,Обручевский,Проспект Вернадского ,10,75,23,48,Евроремонт,2010,Монолитный
166,"2-комн. квартира, 70,9 м²",22000000,Хорошевский,Беговая ,1,70,6,32,Дизайнерский,2010,Монолитный
167,"2-комн. квартира, 54 м²",22500000,Тропарево-Никулино,Тропарево ,13,54,8,14,Евроремонт,2012,Монолитный
168,"2-комн. квартира, 69,7 м²",22500000,Хорошевский,Беговая ,4,69,30,37,Дизайнерский,2010,Монолитный
169,"2-комн. квартира, 71 м²",22700000,Раменки,Минская ,15,71,2,23,Дизайнерский,2006,Монолитный
170,"2-комн. квартира, 66,5 м²",23000000,Филевский парк,Фили ,14,66,13,25,Дизайнерский,2015,Монолитный
171,"2-комн. квартира, 57 м²",23490000,Раменки,Минская ,10,57,7,18,Дизайнерский,2005,Монолитный
172,"2-комн. квартира, 63 м²",23800000,Тропарево-Никулино,Тропарево ,10,63,14,31,Евроремонт,2006,Монолитный
173,"2-комн. квартира, 73,2 м²",24150000,Филевский парк,Багратионовская ,7,73,6,10,Евроремонт,2015,Монолитный
174,"2-комн. квартира, 63 м²",25000000,Тропарево-Никулино,Озерная ,4,63,18,21,Дизайнерский,2007,Монолитный
175,"2-комн. квартира, 95 м²",25500000,Строгино,Строгино ,7,95,3,29,Косметический,2008,Монолитный
176,"2-комн. квартира, 86 м²",25500000,Щукино,Щукинская ,10,86,29,30,Евроремонт,2001,Монолитный
177,"2-комн. квартира, 57 м²",26000000,Фили-Давыдково,Славянский бульвар ,12,57,7,22,Евроремонт,2012,Монолитный
178,"2-комн. квартира, 75 м²",25990000,Академический,Профсоюзная ,9,75,21,27,Дизайнерский,2007,Панельный
179,"2-комн. квартира, 70 м²",27000000,Пресненский,Тестовская ,14,70,9,22,Дизайнерский,2007,Монолитный
180,"2-комн. квартира, 72 м²",28000000,Пресненский,Улица 1905 года,7,72,18,44,Евроремонт,2018,Монолитный
181,"2-комн. квартира, 79 м²",30000000,Можайский,Славянский бульвар ,5,79,19,23,Дизайнерский,2008,Монолитный
182,"2-комн. квартира, 82 м²",29900000,Раменки,Минская ,12,82,6,18,Дизайнерский,2004,Монолитный
183,"2-комн. квартира, 83,3 м²",30200000,Раменки,Ломоносовский проспект ,3,83,15,21,Косметический,2014,Монолитный
184,"2-комн. квартира, 81,4 м²",31500000,Хорошевский,Полежаевская ,5,81,3,8,Дизайнерский,2004,Монолитный
185,"2-комн. квартира, 82 м²",31500000,Раменки,Раменки ,5,82,9,21,Евроремонт,2014,Монолитный
186,"2-комн. квартира, 85 м²",31700000,Хорошевский,ЦСКА ,5,85,5,10,Евроремонт,2004,Монолитный
187,"2-комн. квартира, 84 м²",32400000,Очаково-Матвеевское,Славянский бульвар ,18,84,24,31,Дизайнерский,2008,Монолитный
188,"2-комн. квартира, 118 м²",33000000,Очаково-Матвеевское,Славянский бульвар ,5,118,4,24,Дизайнерский,2010,Монолитный
189,"2-комн. квартира, 104 м²",33200000,Беговой,Белорусская ,7,104,3,6,Евроремонт,2016,Монолитный
190,"2-комн. квартира, 94 м²",34000000,Хорошевский,ЦСКА ,4,94,19,23,Евроремонт,2007,Монолитный
191,"2-комн. квартира, 60 м²",35000000,Хамовники,Фрунзенская ,10,60,7,14,Дизайнерский,1958,Кирпичный
192,"2-комн. квартира, 80 м²",35500000,Донской,Шаболовская ,10,80,3,17,Дизайнерский,2017,Монолитный
193,"2-комн. квартира, 63 м²",36000000,Раменки,Киевская ,15,63,7,34,Дизайнерский,2011,Монолитный
194,"2-комн. квартира, 80 м²",35999999,Даниловский,Шаболовская ,9,80,6,17,Евроремонт,2017,Монолитный
195,"2-комн. квартира, 79,08 м²",36300000,Донской,Шаболовская ,10,79,3,18,Евроремонт,2017,Монолитный
196,"2-комн. квартира, 62 м²",36790000,Замоскворечье,Новокузнецкая ,5,62,2,5,Дизайнерский,2016,Монолитный
197,"2-комн. квартира, 91,2 м²",36999999,Тверской,Маяковская ,6,91,9,15,Евроремонт,2003,Монолитный
198,"2-комн. квартира, 90 м²",37900000,Хамовники,Парк Культуры ,10,90,6,12,Дизайнерский,1969,Кирпичный
199,"2-комн. квартира, 68,6 м²",38000000,Таганский,Марксистская ,7,68,2,5,Дизайнерский,2008,Монолитный
200,"2-комн. квартира, 85 м²",39000000,Останкинский,ВДНХ ,10,85,7,15,Дизайнерский,2009,Монолитный
201,"2-комн. квартира, 91,9 м²",41000000,Мещанский,Проспект Мира ,5,91,10,11,Дизайнерский,2005,Монолитный
202,"2-комн. квартира, 100 м²",41750000,Щукино,Зорге ,5,100,6,21,Евроремонт,2006,Монолитный
203,"2-комн. квартира, 115 м²",41990000,Очаково-Матвеевское,Минская ,4,115,19,31,Евроремонт,2008,Монолитный
204,"2-комн. квартира, 77 м²",42000000,Басманный,Красные ворота ,5,77,2,7,Евроремонт,2001,Кирпичный
205,"2-комн. квартира, 56,7 м²",43000000,Мещанский,Достоевская ,9,56,11,14,Дизайнерский,2013,Монолитный
206,"2-комн. квартира, 81,5 м²",46430000,Пресненский,Улица 1905 года,10,81,2,18,Евроремонт,2016,Монолитный
207,"2-комн. квартира, 93 м²",49000000,Пресненский,Улица 1905 года,13,93,3,13,Евроремонт,2017,Монолитный
208,"2-комн. квартира, 95 м²",49000000,Пресненский,Улица 1905 года,10,95,3,17,Дизайнерский,2017,Монолитный
209,"2-комн. квартира, 71,5 м²",49499999,Замоскворечье,Шаболовская ,5,71,7,11,Евроремонт,2013,Кирпичный
210,"2-комн. квартира, 82,8 м²",53238902,Хамовники,Киевская ,12,82,14,14,Дизайнерский,1992,Кирпичный
211,"2-комн. квартира, 113,7 м²",53800000,Арбат,Смоленская ,5,113,2,6,Дизайнерский,2006,Монолитный
212,"2-комн. квартира, 102 м²",56500000,Замоскворечье,Павелецкая ,10,102,2,8,Дизайнерский,1998,Кирпичный
